TheTime,Ballast,Conflat1,Conflat2,Conflat3,Conflat4,Current,DiffusionPump,Voltage
"22-05-02 14:26:44",-0.9909400,-0.7816047,-0.9010478,0.9749009,-0.5321091,0.5633534,-0.6234424,0.7530954
"22-05-02 14:26:45",-0.9979043,-0.9480442,-0.5838927,0.9941821,-0.3067321,0.4685289,-0.7442152,0.6838465
"22-05-02 14:26:46",-0.9650603,-0.2427335,-0.1222845,0.9039531,-0.06125729,0.3674897,-0.8448762,0.6074423
"22-05-02 14:26:47",-0.8942915,0.6808759,0.3657877,0.7156434,0.1861473,0.2627279,-0.9215383,0.5256021
"22-05-02 14:26:48",-0.7867864,0.9830347,0.7692267,0.4458385,0.4248671,0.1534285,-0.9734252,0.4374783
"22-05-02 14:26:49",-0.6488917,0.3793021,0.9811404,0.1293175,0.6350998,0.04321343,-0.9978986,0.3457739
"22-05-02 14:26:50",-0.4847800,-0.5737149,0.9536915,-0.2022727,0.8064696,-0.06784056,-0.9948189,0.2503636
"22-05-02 14:26:51",-0.3012087,-0.9991598,0.6924648,-0.5117876,0.9277531,-0.1781323,-0.9641348,0.1523840
"22-05-02 14:26:52",-0.1055329,-0.5043673,0.2612573,-0.7649612,0.9912793,-0.2862656,-0.9066632,0.05284027
"22-05-02 14:26:53",0.09290774,0.4486103,-0.2305130,-0.9328583,0.9932445,-0.3901144,-0.8246949,-0.04650418
"22-05-02 14:26:54",0.2899042,0.9949879,-0.6708223,-0.9994427,0.9331715,-0.4903311,-0.7188119,-0.1465339
"22-05-02 14:26:55",0.4741034,0.6224472,-0.9441032,-0.9554417,0.8153680,-0.5838639,-0.5936414,-0.2444696
"22-05-02 14:26:56",0.6395690,-0.3222401,-0.9865744,-0.8062779,0.6467949,-0.6702805,-0.4519198,-0.3400488
"22-05-02 14:26:57",0.7799911,-0.9715442,-0.7864027,-0.5673705,0.4371989,-0.7486971,-0.2971005,-0.4325560
"22-05-02 14:26:58",0.8885629,-0.7257816,-0.3950157,-0.2674285,0.2016502,-0.8174422,-0.1349487,-0.5202140
"22-05-02 14:26:59",0.9619131,0.1853205,0.09306413,0.06209266,-0.04658263,-0.8761944,0.03106132,-0.6027622
"22-05-02 14:27:00",0.9970448,0.9269901,0.5589786,0.3852102,-0.2922481,-0.9242282,0.1964321,-0.6794034
"22-05-02 14:27:01",0.9924765,0.8175143,0.8876678,0.6655052,-0.5193822,-0.9608132,0.3560946,-0.7491445
"22-05-02 14:27:02",0.9483866,-0.04262853,0.9997727,0.8730446,-0.7146045,-0.9856194,0.5061421,-0.8115160
"22-05-02 14:27:03",0.8667008,-0.8626244,0.8677111,0.9844138,-0.8651789,-0.9982642,0.6419238,-0.8656871
"22-05-02 14:27:04",0.7492378,-0.8879920,0.5196831,0.9873419,-0.9629016,-0.9985909,0.7611196,-0.9116746
"22-05-02 14:27:05",0.6033939,-0.09700622,0.04856040,0.8817616,-0.9997050,-0.9866249,0.8578156,-0.9480093
"22-05-02 14:27:06",0.4336592,0.7826079,-0.4344451,0.6798681,-0.9748585,-0.9625867,0.9309496,-0.9749556
"22-05-02 14:27:07",0.2452218,0.9453749,-0.8142436,0.4012803,-0.8889666,-0.9264372,0.9787633,-0.9923374
"22-05-02 14:27:08",0.04848093,0.2401298,-0.9926582,0.08074520,-0.7486498,-0.8791816,0.9991834,-0.9997060
"22-05-02 14:27:09",-0.1517852,-0.6902761,-0.9283173,-0.2512359,-0.5604512,-0.8206487,0.9919491,-0.9970992
"22-05-02 14:27:10",-0.3442592,-0.9826682,-0.6382111,-0.5528239,-0.3392187,-0.7525645,0.9574179,-0.9846001
